Keys,Values
Tên TCPH:,"
Công ty cổ phần Cà phê Phước An
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cà phê Phước An
Mã chứng khoán:,CPA
Mã ISIN:,VN000000CPA8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số: 59/2019/GCNCP-VSD do VSD cấp ngày 26/11/2019, số 59/2019/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 26/06/2020"
Tổng số chứng khoán đăng ký:,23.627.990 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,236.279.900.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
