Keys,Values
Tên TCPH:,"
Công ty cổ phần Thế giới số
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thế giới số
Mã chứng khoán:,DGW
Mã ISIN:,VN000000DGW9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 59/2015/GCNCP-VSD do VSD cấp lần đầu ngày 22/07/2015, Số: 59/2015/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 27/09/2021"
Tổng số chứng khoán đăng ký:,88.552.025 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,885.520.250.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
