Keys,Values
Tên TCPH:,"
Tổng Công ty cổ phần Công trình Viettel
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty cổ phần Công trình Viettel
Mã chứng khoán:,CTR
Mã ISIN:,VN000000CTR4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 83/2014/GCNCP-VSD do VSD cấp lần đầu ngày 01/12/2014, Số 83/2014/GCNCP-VSD-11 cấp thay đổi lần thứ 11 ngày 15/07/2021"
Tổng số chứng khoán đăng ký:,92.923.873 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,929.238.730.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
