Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Nước sạch Sông Đà
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Nước sạch Sông Đà
Mã chứng khoán:,VCW
Mã ISIN:,VN000000VCW0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 07/2014/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 24/01/2014, số 07/2014/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 09/08/2018"
Tổng số chứng khoán đăng ký:,75.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,750.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
