Keys,Values
Tên TCPH:,"
Công ty cổ phần Thương mại và Sản xuất Lập Phương Thành
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thương mại và Sản xuất Lập Phương Thành
Mã chứng khoán:,LPT
Mã ISIN:,VN000000LPT9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 06/2021/GCNCP-VSD do VSD cấp ngày 29/1/2021
Tổng số chứng khoán đăng ký:,8.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,80.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
