Keys,Values
Tên TCPH:,"
Tổng Công ty cổ phần Bia – Rượu – Nước Giải khát Hà Nội
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty cổ phần Bia – Rượu – Nước Giải khát Hà Nội
Mã chứng khoán:,BHN
Mã ISIN:,VN000000BHN0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,89/2014/GCNCP-VSD do VSD cấp ngày 23/12/2014
Tổng số chứng khoán đăng ký:,231.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.318.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
