Keys,Values
Tên TCPH:,"
Công ty cổ phần Phân phối Top One
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Phân phối Top One
Mã chứng khoán:,TOP
Mã ISIN:,VN000000TOP3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 38/2015/GCNCP-VSD do VSD cấp ngày 11/06/2015, số 38/2015/GCNCP-VSD-2 cấp thay đổi lần 02 ngày 01/08/2016"
Tổng số chứng khoán đăng ký:,25.350.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,253.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
