Keys,Values
Tên TCPH:,"
Công ty TNHH Quản lý quỹ SSI
"
Tên chứng khoán:,Chứng chỉ Quỹ ETF SSIAM VNFIN LEAD
Mã chứng khoán:,FUESSVFL
Mã ISIN:,VN0FUESSVFL3
Loại chứng khoán:,Chứng chỉ quỹ
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận đăng ký chứng chỉ quỹ:,Số:   01/2020/GCNETF-VSD do VSD cấp ngày 26/2/2020; Số: 01/2020/GCNETF-VSD-143 cấp thay đổi lần 143 ngày 27/05/2022
Tổng số chứng khoán đăng ký:,166.100.000 Chứng chỉ quỹ
Tổng giá trị chứng khoán đăng ký:,1.661.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
