Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư và Phát triển Nhà Đất Cotec
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư và Phát triển Nhà Đất Cotec
Mã chứng khoán:,CLG
Mã ISIN:,VN000000CLG4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 189/2010/GCNCP-VSD-2 do VSD cấp lần đầu ngày 30/07/2010, cấp thay đổi lần 2 ngày 11/06/2014"
Tổng số chứng khoán đăng ký:,21.150.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,211.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
