Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Phát triển Công nghiệp và Vận tải
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Phát triển Công nghiệp và Vận tải
Mã chứng khoán:,TCD
Mã ISIN:,VN000000TCD4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"số 79/2017/GCNCP-VSD do VSD cấp ngày 14/04/2017, Số: 79/2017/GCNCP-VSD-7 cấp thay đổi lần thứ 7 ngày 19/01/2022"
Tổng số chứng khoán đăng ký:,224.418.304 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.244.183.040.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
