Keys,Values
Tên TCPH:,"
Công ty cổ phần Traphaco
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Traphaco
Mã chứng khoán:,TRA
Mã ISIN:,VN000000TRA8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"106/2008/GCNCP-CNTTLK do TTLKCKVN cấp lần đầu ngày 29/10/2008, số 106/2008/GCNCP-VSD-7 cấp thay đổi lần 7 ngày 13/06/2017"
Tổng số chứng khoán đăng ký:,41.453.673 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,414.536.730.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
