Keys,Values
Tên TCPH:,"
Công ty cổ phần Thủy điện  Đa Nhim - Hàm Thuận - Đa Mi
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
Mã chứng khoán:,DNH
Mã ISIN:,VN000000DNH6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 72/2017/GCNCP-VSD do VSD cấp lần đầu ngày 03/04/2017
Tổng số chứng khoán đăng ký:,422.400.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,4.224.000.000.000 đồng
Hình thức đăng ký:,Cổ phiếu phổ thông
Nơi quản lý tại VSD:,Chi nhánh
