Keys,Values
Tên TCPH:,"
Công ty cổ phần Sản xuất Thương mại Xuất nhập khẩu Viễn thông A
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần sản xuất thương mại Xuất nhập khẩu Viễn thông A
Mã chứng khoán:,ATC
Mã ISIN:,VN000000ATC0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"64/2011/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 19/09/2011, câp thay đổi lần 1 ngày 26/4/2012"
Tổng số chứng khoán đăng ký:,8.002.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,80.020.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
