Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ điện Uông Bí - Vinacomin
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ điện Uông Bí - Vinacomin
Mã chứng khoán:,UEM
Mã ISIN:,VN000000UEM9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 51/2011/GCNCP-VSD do VSD cấp lần đầu ngày 11/07/2011, Số: 51/2011/GCNCP-VSD-2 cấp thay đổi lần 2 ngày11/5/2018"
Tổng số chứng khoán đăng ký:,2.438.100 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,24.381.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
