Keys,Values
Tên TCPH:,"
Công ty cổ phần Nước giải khát Sanest Khánh Hòa
"
Tên chứng khoán:,Cổ phiếu CTCP Nước giải khát Sanest Khánh Hòa
Mã chứng khoán:,SKH
Mã ISIN:,VN000000SKH0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 12/2018/GCNCP-VSD do VSD cấp ngày 05/03/2018
Tổng số chứng khoán đăng ký:,33.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,330.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
