Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Everest
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Chứng khoán Everest
Mã chứng khoán:,EVS
Mã ISIN:,VN000000EVS4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"số 57/2018/GCNCP-VSD do VSD cấp lần đầu ngày 17/07/2018, số 57/2018/GCNCP-VSD-3 cấp thay đổi lần 3 ngày 10/11/2021"
Tổng số chứng khoán đăng ký:,103.000.400 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.030.004.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
