Keys,Values
Tên TCPH:,"
Công ty cổ phần Gemadept
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Gemadept
Mã chứng khoán:,GMD
Mã ISIN:,VN000000GMD0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 11/GCN/TTGD-LK cấp lần đầu ngày 18/04/2002, Số 11/2002/GCNCP-VSD-20 cấp sửa đổi lần thứ 20 ngày 03/02/2021"
Tổng số chứng khoán đăng ký:,301.377.957 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.013.779.570.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
