Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Xây dựng 319 Miền Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Xây dựng 319 Miền Nam
Mã chứng khoán:,BM9
Mã ISIN:,VN000000BM98
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 02/2019/GCNCP-VSD do VSD cấp lần đầu ngày 03/01/2019
Tổng số chứng khoán đăng ký:,3.795.680 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,37.956.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
