Keys,Values
Tên TCPH:,"
Công ty cổ phần Du lịch Trường Sơn COECCO
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Du lịch Trường Sơn COECCO
Mã chứng khoán:,TSD
Mã ISIN:,VN000000TSD0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 42/2017/GCNCP-VSD do VSD cấp lần đầu ngày 06/02/2017
Tổng số chứng khoán đăng ký:,1.300.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,13.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
