Keys,Values
Tên TCPH:,"
Công ty cổ phần Lai dắt và vận tải Cảng Hải Phòng
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Lai dắt và vận tải Cảng Hải Phòng
Mã chứng khoán:,TUG
Mã ISIN:,VN000000TUG9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 16/2017/GCNCP-VSD do VSD cấp lần đầu ngày 12/01/2017
Tổng số chứng khoán đăng ký:,2.700.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,27.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
