Keys,Values
Tên TCPH:,"
Công ty cổ phần Bê tông Ly tâm An Giang
"
Tên chứng khoán:,Cổ phiếu CTCP Bê tông Ly tâm An Giang
Mã chứng khoán:,ACE
Mã ISIN:,VN000000ACE2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 69/2009/GCNCP-VSD do VSD cấp lần đầu ngày 15/10/2009, số 69/2009/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 27/8/2015"
Tổng số chứng khoán đăng ký:,3.050.781 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,30.507.810.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
