Keys,Values
Tên TCPH:,"
Công ty cổ phần Cảng Đoạn Xá
"
Tên chứng khoán:,Cổ phiếu CTCP Cảng Đoạn Xá
Mã chứng khoán:,DXP
Mã ISIN:,VN000000DXP8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 13/2005/GCN/TTGDHN-LK do HNX cấp lần đầu ngày 12/12/2005. Số 13/2005/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 03/03/2022
Tổng số chứng khoán đăng ký:,27.282.027 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,272.820.270.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
