Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư dịch vụ Hoàng Huy
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư dịch vụ Hoàng Huy
Mã chứng khoán:,HHS
Mã ISIN:,VN000000HHS6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 70/2011/GCNCP-VSD do VSD cấp lần đầu ngày 04/11/2011, Số 70/2011/GCNCP-VSD-8 thay đổi lần thứ 8 ngày 27/01/2022"
Tổng số chứng khoán đăng ký:,321.448.153 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.214.481.530.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
