Keys,Values
Tên TCPH:,"
Công ty cổ phần Rượu và Nước giải khát Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Rượu và Nước giải khát Hà Nội
Mã chứng khoán:,HNR
Mã ISIN:,VN000000HNR6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 26/2018/GCNCP-VSD do VSD cấp ngày 03/05/2018; số 26/2018/GCNCP-VSD-1 cấp thay đổi lần 01 ngày 12/03/2021
Tổng số chứng khoán đăng ký:,20.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
