Keys,Values
Tên TCPH:,"
Công ty cổ phần Thoát nước và Xử lý nước thải Bắc Ninh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thoát nước và Xử lý nước thải Bắc Ninh
Mã chứng khoán:,TBN
Mã ISIN:,VN000000TBN5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 144/2017/GCNCP-VSD do VSD cấp ngày 24/07/2017
Tổng số chứng khoán đăng ký:,4.417.592 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,44.175.920.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
