Keys,Values
Tên TCPH:,"
Ngân hàng TMCP Sài Gòn - Hà Nội
"
Tên chứng khoán:,Trái phiếu chuyển đổi Ngân hàng TMCP Sài Gòn - Hà Nội
Mã chứng khoán:,SHB410030
Mã ISIN:,VNSHB4100300
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,89/2010/GCNTP-VSD
Tổng số chứng khoán đăng ký:,29.953.240 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,2.995.324.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,"10,48%/năm"
Cách thức trả lãi:,"Cuối kỳ (đến thời điểm chuyển đổi, tiền lãi trái phiếu sẽ được chi trả cho người sở hữu trái phiếu bằng tiền mặt)"
Kỳ hạn:,1 năm
Ngày phát hành:,10/04/2010
Ngày đáo hạn:,10/04/2011
Nơi quản lý tại VSD:,Trụ sở chính
