Keys,Values
Tên TCPH:,"
Công ty cổ phần Tư vấn Xây dựng công trình Hàng hải
"
Tên chứng khoán:,Cổ phiếu CTCP Tư vấn Xây dựng công trình Hàng hải
Mã chứng khoán:,TVH
Mã ISIN:,VN000000TVH5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 56/2018/GCNCP-VSD do VSD cấp lần đầu ngày 16/07/2018
Tổng số chứng khoán đăng ký:,4.004.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,40.040.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
