Keys,Values
Tên TCPH:,"
Công ty cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô
Mã chứng khoán:,STD
Mã ISIN:,VN000000STD0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 40/2019/GCNCP-VSD do VSD cấp ngày 6/9/2019
Tổng số chứng khoán đăng ký:,20.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
