Keys,Values
Tên TCPH:,"
Công ty cổ phần Thương mại và Dịch vụ An Thành
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Thương mại và Dịch vụ An Thành
Mã chứng khoán:,ATP
Mã ISIN:,VN000000ATP2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 22/2019/GCNCP-VSD do VSD cấp ngày 14/05/2019
Tổng số chứng khoán đăng ký:,15.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,150.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
