Keys,Values
Tên TCPH:,"
Công ty cổ phần Công ty cổ phần Xe điện Hà Nội
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công ty cổ phần Xe điện Hà Nội
Mã chứng khoán:,HNT
Mã ISIN:,VN000000HNT2
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 76/2016/GCNCP-VSD do VSD cấp ngày 05/08/2016
Tổng số chứng khoán đăng ký:,5.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,55.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
