Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư, Xây dựng và Khai thác mỏ VINAVICO
"
Tên chứng khoán:,"Cổ phiếu Công ty cổ phần Đầu tư, Xây dựng và Khai thác mỏ VINAVICO"
Mã chứng khoán:,CTM
Mã ISIN:,VN000000CTM5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,"Số 30/2009/GCNCP-TTLK do VSD cấp lần đầu ngày 23/07/2009, Số 30/2009/GCNCP-VSD-2 cấp thay đổi lần thứ 2 ngày 18/11/2011"
Tổng số chứng khoán đăng ký:,5.722.196 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,57.221.960.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
