Keys,Values
Tên TCPH:,"
Tổng Công ty Chăn nuôi Việt Nam - CTCP
"
Tên chứng khoán:,Cổ phiếu Tổng Công ty Chăn nuôi Việt Nam - CTCP
Mã chứng khoán:,VLC
Mã ISIN:,VN000000VLC3
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 30/2014/GCNCP-VSD do VSD cấp ngày 14/5/2014; Số 30/2014/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 04/05/2022
Tổng số chứng khoán đăng ký:,172.346.173 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,1.723.461.730.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
