Keys,Values
Tên TCPH:,"
Công ty cổ phần LICOGI 166
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần LICOGI 166
Mã chứng khoán:,LCS
Mã ISIN:,VN000000LCS9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 146/2010/GCNCP-VSD do VSD cấp lần đầu ngày 28/06/2010, Số 146/2010/GCNCP-VSD-4 cấp thay đổi lần thứ 4 ngày16/10/2012"
Tổng số chứng khoán đăng ký:,7.600.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,76.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
