Keys,Values
Tên TCPH:,"
Công ty cổ phần Nước sạch Quảng Ninh
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Nước sạch Quảng Ninh
Mã chứng khoán:,NQN
Mã ISIN:,VN000000NQN6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số: 20/2018/GCNCP-VSD do VSD cấp lần đầu ngày 11/4/2018, Số: 20/2018/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 05/12/2018"
Tổng số chứng khoán đăng ký:,50.831.593 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,508.315.930.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
