Keys,Values
Tên TCPH:,"
Công ty cổ phần Cơ điện Thủ Đức
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cơ điện Thủ Đức
Mã chứng khoán:,EMC
Mã ISIN:,VN000000EMC7
Loại chứng khoán:,cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 60/2011/GCNCP-VSD do VSD cấp lần đầu ngày 24/08/2011, số 60/2011/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 17/07/2019"
Tổng số chứng khoán đăng ký:,15.297.333 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,152.973.330.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
