Keys,Values
Tên TCPH:,"
Công ty cổ phần Giao nhận Kho vận Ngoại thương Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Giao nhận Kho vận Ngoại thương Việt Nam
Mã chứng khoán:,VIN
Mã ISIN:,VN000000VIN6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 06/2014/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 23/01/2014
Tổng số chứng khoán đăng ký:,25.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,255.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
