Keys,Values
Tên TCPH:,"
Công ty cổ phần Bảo vệ Thực vật 1 Trung ương
"
Tên chứng khoán:,Cổ phiếu CTCP Bảo vệ Thực vật 1 Trung ương
Mã chứng khoán:,BT1
Mã ISIN:,VN000000BT18
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 253/2010/GCNCP-VSD do VSD cấp lần đầu ngày 25/10/2010, số 253/2010/GCNCP-VSD-1 cấp thay đổi lần thứ nhất ngày16/03/2012"
Tổng số chứng khoán đăng ký:,5.250.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,52.500.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
