Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư xây dựng lắp máy IDICO
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư xây dựng lắp máy IDICO
Mã chứng khoán:,LMI
Mã ISIN:,VN000000LMI9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 218 /2016/GCNCP-VSD do VSD cấp ngày 29/12/2016
Tổng số chứng khoán đăng ký:,5.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,55.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
