Keys,Values
Tên TCPH:,"
Công ty cổ phần BV Land
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần BV Land
Mã chứng khoán:,BVL
Mã ISIN:,VN000000BVL5
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số: 19/2021/GCNCP-VSD do VSD cấp lần đầu ngày 23/04/2021, Số: 19/2021/GCNCP-VSD -2 cấp thay đổi lần 2 ngày 21/01/2022"
Tổng số chứng khoán đăng ký:,57.312.800 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,573.128.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
