Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán KIS Việt Nam
"
Tên chứng quyền:,Chứng quyền.SBT.KIS.M.CA.T.01
Mã chứng quyền:,CSBT1901
Mã ISIN:,VN0CSBT19016
Mã chứng khoán cơ sở:,SBT
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty Cổ phần Thành Thành Công-Biên Hòa
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,3 tháng
Ngày đáo hạn:,14/02/2020
Tỷ lệ chuyển đổi:,1:1
Giá thực hiện:,21.212  đồng
Giá phát hành lần đầu:,1.500  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số:   55/2019/GCNCW-VSD do VSD cấp ngày 27/11/2019
Số lượng chứng quyền đăng ký lần đầu tại VSD:,2.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,3.000.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,2.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
