Keys,Values
Tên TCPH:,"
CTCP Công nghiệp Tung Kuang
"
Tên chứng khoán:,Cổ phiếu CTCP Công nghiệp Tung Kuang
Mã chứng khoán:,TKU
Mã ISIN:,VN000000TKU1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 02/2006/GCNCP-TTLK do VSD cấp lần đầu ngày 12/06/2006, Số 02/2006/GCNCP-VSD -5 cấp thay đổi lần 5 ngày 17/07/2019"
Tổng số chứng khoán đăng ký:,38.745.384 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,387.453.840.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
