Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Thành Thái
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Thành Thái
Mã chứng khoán:,KKC
Mã ISIN:,VN000000KKC8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 35/2008/GCNCP-TTLK do VSD cấp lần đầu ngày 11/08/2008, Số 35/2008/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 25/01/2022"
Tổng số chứng khoán đăng ký:,5.200.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,52.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
