Keys,Values
Tên TCPH:,"
Công ty cổ phần dược phẩm OPC
"
Tên chứng khoán:,Cổ phiếu công ty cổ phần dược phẩm OPC
Mã chứng khoán:,OPC
Mã ISIN:,VN000000OPC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 103/2008/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 17/10/2008, Số 103/2008/GCNCP-VSD-6 cấp thay đổi lần 6 ngày 09/08/2018"
Tổng số chứng khoán đăng ký:,26.577.280 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,265.772.800.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
