Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang
Mã chứng khoán:,CKG
Mã ISIN:,VN000000CKG6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 79/2014/GCNCP-VSD do VSD cấp ngày 14/11/2014, số 79/2014/GCNCP-VSD-6 cấp thay đổi lần thứ 6 ngày 30/03/2022"
Tổng số chứng khoán đăng ký:,86.599.781 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,865.997.810.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
