Keys,Values
Tên TCPH:,"
CTCP Đầu tư và Xây dựng Công trình 3
"
Tên chứng khoán:,Cổ phiếu CTCP Đầu tư và Xây dựng Công trình 3
Mã chứng khoán:,CT3
Mã ISIN:,VN000000CT33
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 71/2009/GCNCP-VSD do VSD cấp lần đầu ngày 16/10/2009, Số 71/2009/GCNCP-VSD-7 cấp thay đổi lần thứ 7 ngày 03/12/2015"
Tổng số chứng khoán đăng ký:,8.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,80.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
