Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư EGO Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư EGO Việt Nam
Mã chứng khoán:,HKT
Mã ISIN:,VN000000HKT8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 83/2016/GCNCP-VSD do VSD cấp lần đầu ngày 12/08/2016, Số: 83/2016/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 27/3/2020"
Tổng số chứng khoán đăng ký:,6.135.029 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,61.350.290.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
