Keys,Values
Tên TCPH:,"
Công ty cổ phần Xây dựng và Kinh doanh nhà Vĩnh Phúc
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Xây dựng và Kinh doanh nhà Vĩnh Phúc
Mã chứng khoán:,KDN
Mã ISIN:,VN000000KDN0
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số: 12/2021/GCNCP-VSD do VSD cấp lần đầu ngày 23/03/2021
Tổng số chứng khoán đăng ký:,216.700 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,2.167.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
