Keys,Values
Tên TCPH:,"
Công ty cổ phần Vinhomes
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Vinhomes
Mã chứng khoán:,VHM
Mã ISIN:,VN000000VHM0
Loại chứng khoán:, Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:," số 24/2018/GCNCP-VSD do VSD cấp ngày 26/04/2018, Số: 24/2018/GCNCP-VSD -1 cấp thay đổi lần 1 ngày 31/10/2018"
Tổng số chứng khoán đăng ký:,4.354.367.488 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,43.543.674.880.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
