Keys,Values
Tên TCPH:,"
CTCP Du lịch Quốc tế Vũng Tàu
"
Tên chứng khoán:,Cổ phiếu CTCP Du lịch Quốc tế Vũng Tàu
Mã chứng khoán:,VIR
Mã ISIN:,VN000000VIR7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 98/2010/GCNCP-VSD-2  do TTLKCK Việt Nam cấp lần đầu ngày 15/04/2010 và cấp thay đổi lần 1 ngày 19/04/2012
Tổng số chứng khoán đăng ký:,8.240.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,82.400.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
