Keys,Values
Tên TCPH:,"
Công ty cổ phần Tổng Công ty May Đáp Cầu
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Tổng Công ty May Đáp Cầu
Mã chứng khoán:,DCG
Mã ISIN:,VN000000DCG1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"số 44/2018/GCNCP-VSD do VSD cấp ngày 13/06/2018, Số: 44/2018/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 15/11/2019"
Tổng số chứng khoán đăng ký:,6.825.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,68.250.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
