Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán Golden Bridge Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Chứng khoán Golden Bridge Việt Nam
Mã chứng khoán:,GBS
Mã ISIN:,VN000000GBS1
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,Đại chúng chưa niêm yết
Giấy chứng nhận ĐKCK:,số 239/2010/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 01/10/2010
Tổng số chứng khoán đăng ký:,13.500.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,135.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
