Keys,Values
Tên TCPH:,"
Công ty Cổ phần Than Mông Dương - Vinacomin
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Than Mông Dương - Vinacomin
Mã chứng khoán:,MDC
Mã ISIN:,VN000000MDC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,"Số 27/2009/GCNCP-TTLK do VSD cấp lần đầu ngày 25/06/2009, Số  27/2009/GCNCP-VSD-2 cấp thay đổi lần 2 ngày 22/09/2016"
Tổng số chứng khoán đăng ký:,21.418.346 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,214.183.460.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
