Keys,Values
Tên TCPH:,"
Tổng công ty cổ phần Dệt may Hòa Thọ
"
Tên chứng khoán:,Cổ phiếu Tổng công ty cổ phần Dệt may Hòa Thọ
Mã chứng khoán:,HTG
Mã ISIN:,VN000000HTG6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 171/2010/GCNCP-VSD do VSD cấp lần đầu ngày 20/07/2010, Số 171/2010/GCNCP-VSD-5 cấp thay đổi lần thứ 5 ngày 17/12/2021"
Tổng số chứng khoán đăng ký:,23.625.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,236.250.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
