Keys,Values
Tên TCPH:,"
Ngân hàng Thương mại cổ phần Kiên Long
"
Tên chứng khoán:,Cổ phiếu Ngân hàng Thương mại cổ phần Kiên Long
Mã chứng khoán:,KLB
Mã ISIN:,VN000000KLB8
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,"Số 221/2016/GCNCP-VSD do VSD cấp ngày 29/12/2016, Số: 221/2016/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 23/11/2018"
Tổng số chứng khoán đăng ký:,365.281.878 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.652.818.780.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
