Keys,Values
Tên TCPH:,"
Công ty cổ phần Công nghệ - Viễn thông Elcom
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Công nghệ - Viễn thông Elcom
Mã chứng khoán:,ELC
Mã ISIN:,VN000000ELC9
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 241/2010/GCNCP-VSD do VSD cấp lần đầu ngày 04/10/2010, số 241/2010/GCNCP-VSD-11 cấp thay đổi lần thứ 11 ngày 23/05/2022"
Tổng số chứng khoán đăng ký:,50.928.243 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,509.282.430.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
