Keys,Values
Tên TCPH:,"
CTCP Địa ốc Sài Gòn Thương Tín
"
Tên chứng khoán:,Cổ phiếu CTCP Địa ốc Sài Gòn Thương Tín
Mã chứng khoán:,SCR
Mã ISIN:,VN000000SCR6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 260/2010/GCNCP-VSD do VSD cấp lần đầu ngày 29/10/2010,   Số: 260/2010/GCNCP-VSD-11 cấp thay đổi lần 11 ngày 22/01/2020"
Tổng số chứng khoán đăng ký:,366.356.303 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,3.663.563.030.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
