Keys,Values
Tên TCPH:,"
Công ty Cổ phần Xây dựng số 5
"
Tên chứng khoán:,Cổ phiếu Công ty Cổ phần Xây dựng số 5
Mã chứng khoán:,SC5
Mã ISIN:,VN000000SC59
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 88/2007/GCNCP-VSD-4 do TTLKCK Việt Nam cấp lần đầu ngày 03/10/2007 và thay đổi lần thứ 4 ngày 09/01/2013
Tổng số chứng khoán đăng ký:,14.984.550 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,149.845.500.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
