Keys,Values
Tên TCPH:,"
Công ty cổ phần Cảng Cát Lái
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cảng Cát Lái
Mã chứng khoán:,CLL
Mã ISIN:,VN000000CLL4
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,"Số 25/2013/GCNCP-VSD do TTLKCK Việt Nam cấp lần đầu ngày 16/10/2013, số 25/2013/GCNCP-VSD-1 cấp thay đổi lần 1 ngày 13/7/2015"
Tổng số chứng khoán đăng ký:,34.000.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,340.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
