Keys,Values
Tên TCPH:,"
Công ty cổ phần bọc ống dầu khí Việt Nam
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần bọc ống dầu khí Việt Nam
Mã chứng khoán:,PVB
Mã ISIN:,VN000000PVB6
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số 28/2013/GCNCP-VSD do TTLKCK Việt Nam cấp ngày 09/12/2013
Tổng số chứng khoán đăng ký:,21.599.998 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,215.999.980.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
