Keys,Values
Tên TCPH:,"
Công ty cổ phần Đầu tư Sài Gòn VRG
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Đầu tư Sài Gòn VRG
Mã chứng khoán:,SIP
Mã ISIN:,VN000000SIP7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,Số 08/2019/GCNCP-VSD do VSD cấp ngày 20/02/2019; số 08/2019/GCNCP-VSD-3 cấp thay đổi lần 03 ngày 18/11/2021
Tổng số chứng khoán đăng ký:,92.904.146 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,929.041.460.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
