Keys,Values
Tên TCPH:,"
Công ty cổ phần Cấp thoát nước và môi trường Kiến Tường
"
Tên chứng khoán:,Cổ phiếu Công ty cổ phần Cấp thoát nước và môi trường Kiến Tường
Mã chứng khoán:,KWA
Mã ISIN:,VN000000KWA7
Loại chứng khoán:,Cổ phiếu phổ thông
Mệnh giá:,10.000 đồng
Sàn giao dịch (*):,UpCOM
Giấy chứng nhận ĐKCK:,số 54/2020/GCNCP-VSD do VSD cấp lần đầu ngày 31/08/2020
Tổng số chứng khoán đăng ký:,3.800.000 Cổ phiếu
Tổng giá trị chứng khoán đăng ký:,38.000.000.000 đồng
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Chi nhánh
