STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,17.000.000,170.000.000.000,57/2011/GCNCP-VSD,28/07/2011
2,Điều chỉnh lần 1,Đăng ký bổ sung,60.180.000,601.800.000.000,57/2011/GCNCP-VSD-1,26/06/2012
3,Điều chỉnh lần 2,Đăng ký bổ sung,77.180.000,771.800.000.000,57/2011/GCNCP-VSD-2,23/04/2014
4,Điều chỉnh lần 3,Đăng ký bổ sung,6.173.882,61.738.820.000,57/2011/GCNCP-VSD-3,08/08/2014
5,Điều chỉnh lần 4,Đăng ký bổ sung,154.360.000,1.543.600.000.000,57/2011/GCNCP-VSD-4,05/09/2014
6,Điều chỉnh lần 5,Đăng ký bổ sung,60.000.000,600.000.000.000,57/2011/GCNCP-VSD-5,19/01/2015
7,Điều chỉnh lần 6,Đăng ký bổ sung,80.000.000,800.000.000.000,57/2011/GCNCP-VSD-6,02/06/2015
8,Điều chỉnh lần 7,Đăng ký bổ sung,74.977.651,749.776.510.000,57/2011/GCNCP-VSD-7,12/06/2015
9,Điều chỉnh lần 8,Đăng ký bổ sung,108.167.204,1.081.672.040.000,số 57/2011/GCNCP-VSD-8,31/08/2016
10,Điều chỉnh lần 9,Đăng ký bổ sung,44.658.624,446.586.240.000,số 57/2011/GCNCP-VSD-9,26/02/2018
11,Điều chỉnh lần 10,Đăng ký bổ sung,27.300.446,273.004.460.000,số 57/2011/GCNCP-VSD-10,24/08/2018
Tổng cộng:,Tổng cộng:,Tổng cộng:,709.997.807,7.099.978.070.000,,
