STT,Lần đăng ký,Lý do,Số lượng,Số GCNĐKCK,Ngày cấp,Unnamed: 6
1,Cấp lần đầu,Đăng ký lần đầu,2.500.000,số 20/2019/GCNCW-VSD,27/08/2019,
2,Điều chỉnh lần 1,Đăng ký bổ sung,2.600.000,số 20/2019/GCNCW-VSD-1,17/10/2019,
Tổng cộng:,Tổng cộng:,Tổng cộng:,5.100.000,,,
