STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,6.209.630,62.096.300.000,số 05/2019/GCNCP-VSD,23/01/2019
2,Điều chỉnh lần 1,Đăng ký bổ sung,3.790.370,37.903.700.000,số 05/2019/GCNCP-VSD-1,28/12/2020
Tổng cộng:,Tổng cộng:,Tổng cộng:,10.000.000,100.000.000.000,,
